,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
285,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7EBsLKQg2O,Sama....terharu ..apalagi dgn paskibra nya  sangat adem wajahnya penuh dgn senyuman ..,9 jam yang lalu,@DindaDin-ht6ru,UCcBMKAaHk5arBYw_3n7KODQ,0,,https://yt3.ggpht.com/ytc/AIdro_mBVNsGOPmaU5A11ntmIeNgKYqCDoujcui9IgUTGH76DIMXsWCfsYP1u5nTgQTXotUAtA=s88-c-k-c0x00ffffff-no-rj,False,True,1723878899.691284
286,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7ECYCl_lqI, @user-te3dl4im9b  orang utan semakin terusir,9 jam yang lalu,@shetiyasathya918,UC5LggY0LMpi9Ax9X2C7RCOw,1,,https://yt3.ggpht.com/ytc/AIdro_muT4LZCm47mKRA1tVYUyg068lF2Un9vSbJ2HOhwL2oAyU=s88-c-k-c0x00ffffff-no-rj,False,True,1723878899.691284
287,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7EGJGjRsGP,"​ @maseranjoni707 yang menghujat itu gak bakalan ber buat apa2 untuk negri ini ,,,hanya jadi benalu untuk bangsa ini sampai kapan pun sebelum terbuka pintu hatinya,",9 jam yang lalu,@MuhidinKaren,UCyk_HH0WjObDPWoDq9ZbZ7w,0,,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s88-c-k-c0x00ffffff-no-rj,False,True,1723878899.709122
288,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7EGJHJXazn,"​ @maseranjoni707 yang menghujat itu gak bakalan ber buat apa2 untuk negri ini ,,,hanya jadi benalu untuk bangsa ini sampai kapan pun sebelum terbuka pintu hatinya,",9 jam yang lalu,@MuhidinKaren,UCyk_HH0WjObDPWoDq9ZbZ7w,0,,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s88-c-k-c0x00ffffff-no-rj,False,True,1723878899.712138
289,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7EHQOxLWJF,Apa saya saja  tadi melihat sosok sultan aji sulaiman bersama pk Jokowi,9 jam yang lalu,@Sukemi-es7cj,UCChtBYaByo_AZ1iJTKGGNaw,0,,https://yt3.ggpht.com/ytc/AIdro_nn2r27xgt-QLsA4NOafS588bIhGJEP80r8XEC4pJEMwtmsmIosL5hG9gzQ2AyEbG8G0A=s88-c-k-c0x00ffffff-no-rj,False,True,1723878899.933344
290,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7EI0eURic_," @MuhidinKaren  Saya termasuk yg menghujat, Karena rumah orang utan semakin sempit gara2 IKN ,..orang utan akan punah suatu saat nanti",9 jam yang lalu (diedit),@shetiyasathya918,UC5LggY0LMpi9Ax9X2C7RCOw,0,,https://yt3.ggpht.com/ytc/AIdro_muT4LZCm47mKRA1tVYUyg068lF2Un9vSbJ2HOhwL2oAyU=s88-c-k-c0x00ffffff-no-rj,False,True,1723878899.937342
291,Ugy9gqQQjv6Y03AqI4h4AaABAg.A7E-Bx5830MA7EMJmi4AbW," @shetiyasathya918  pemerintah sudah memikirkan semua nya itu,,,anda gak usah mikir,,sudah ada ranah nya masing2,,pemerintah itu 30 th yang akan datang aja sudah di pikirkan,,,",8 jam yang lalu (diedit),@MuhidinKaren,UCyk_HH0WjObDPWoDq9ZbZ7w,1,,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s88-c-k-c0x00ffffff-no-rj,False,True,1723882499.940486
292,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E-FCNi2UF,Lnjutttyt,11 jam yang lalu,@user-kf6lr8sd2r,UC4JRhr42cTFpH0Pk-2v5Nfg,5,,https://yt3.ggpht.com/ytc/AIdro_mA5iYFWQWr-erQfOrpRSPi7uAL1ykOBKRSbPBDp88Z1xyBT7Je5IKp6_AckwgwsDEc-Q=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.139639
293,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E2ZWWovhM,Mantap,11 jam yang lalu,@iksans8917,UCsmbvKpbhpjyMocFdqANIkg,4,,https://yt3.ggpht.com/ytc/AIdro_k_NOJ0CwrtxF62pzLJ5odZ0PVJjLsBd0XTNo-_sFneD4w=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.143737
294,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E2u5nPT45,Selamat hari kemrdekaan ri semoga menjadi indonesia maju  menjunjung tinggi pemerintahan  indonesia tentram.dan damai untuk selamanya merdekaa  kita tetap menghormati bapak joko widodo yang telah membangun ibu kota indonesia ikn  dengan jerih payahnya  semoga alloh melindungi pakjoko widodo sehaat  tentram panjang umur untuk semua kluarga bapak joko wi  amin ya  robbal alamin,11 jam yang lalu,@suparnibakalan9839,UCbqYFJoxKQkR_Et5lW2W97g,7,,https://yt3.ggpht.com/ytc/AIdro_kSGfJDEc-ehaGCvwnyuNBr8kfhML-Yew76Nj8hUUSrrke4-fZIU5cLYjQMy1xZcxRHzA=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.147753
